Constellation, Max Distance, Same Constellations Accross Cultures 
CON arabic_ancient 3002,0.041978429467070144, 2
CON chinese 140,0.042007716040917416, 1
CON chinese 296,0.04214364561329259, 1
CON japanese_moon_stations 25,0.04233358728035738, 1
CON chinese 027,0.04233358728035738, 1
CON chinese 315,0.04258638630839876, 1
CON korean 142,0.04263891423475845, 1
CON korean 193,0.042681745356279145, 1
CON northern_andes 004,0.042952948406602076, 1
CON chinese 145,0.043124607708991444, 1
CON chinese 141,0.043361037958814706, 1
CON macedonian 014,0.043546984091521, 1
CON chinese 230,0.04356853866258564, 1
CON korean 134,0.04357169929861827, 1
CON blackfoot 004,0.043778632938860834, 2
CON chinese 272,0.04399631941584211, 1
CON chinese 137,0.044395285669183424, 1
CON chinese 225,0.04471002744089641, 1
CON korean 186,0.04517092759190796, 1
CON chinese 273,0.045438801455790094, 1
CON korean 050,0.04562007096840277, 1
CON western CrA,0.04562007096840277, 2
CON arabic_ancient 3004,0.04562007096840277, 1
CON chinese 085,0.045789941524818835, 1
CON chinese 281,0.04611719356401461, 1
CON korean 074,0.04620806259906146, 1
CON chinese 139,0.04639711864022155, 1
CON macedonian 010,0.04671197521831686, 1
CON boorong Bun,0.04681601413658154, 1
CON chinese 182,0.04695767178485549, 1
CON korean 008,0.04698258758393633, 2
CON arabic_ancient 4207,0.04699747768662168, 1
CON chinese 209,0.04703472696462411, 1
#CON indian N22,0.047192465821697664, 7
CON tukano 002,0.047192465821697664, 1
CON arabic_ancient 0999,0.04730182426186236, 1
CON korean 056,0.04748228025991666, 1
CON chinese 308,0.04748489422156132, 1
CON chinese 176,0.047524843840732287, 1
CON chinese 117,0.047533469239410264, 1
CON korean 054,0.047564943883639056, 1
CON chinese 316,0.047564943883639056, 1
CON korean 235,0.0476006039303797, 1
CON korean 138,0.04782236067536109, 1
CON arabic_ancient 4204,0.04782236067536109, 1
CON korean 132,0.047979589100194196, 1
CON arabic_arabian_peninsula 3399,0.04803708715100256, 3
CON korean 147,0.04806656983274796, 1
CON indian N09,0.04822260387230654, 1
CON chinese 102,0.04829257146043427, 1
CON chinese 201,0.048667744694074, 1
CON tongan 007,0.04918909377174952, 1
CON korean 068,0.04934074494712937, 1
CON ruelle CrB,0.049390309935357445, 1
CON chinese 101,0.049456313966179374, 1
CON arabic_ancient 4399,0.0494812488152055, 1
CON western_hlad Sge,0.049788292675463586, 3
CON ruelle Sge,0.049788292675463586, 1
CON arabic_al-sufi Sge,0.049788292675463586, 1
CON korean 233,0.04992546994018391, 1
CON western_hlad Men,0.05005326010186483, 1
CON korean 173,0.050123341578697814, 1
CON boorong Tot,0.05025324731214252, 1
CON navajo 007,0.05033276598309044, 1
CON ruelle Cap,0.05050094273205594, 1
CON korean 232,0.05050640878664679, 1
CON chinese 240,0.050687034120718406, 1
CON boorong Nln,0.05115553300539558, 1
CON korean 073,0.051377730614345175, 1
CON korean 240,0.05149689940459882, 1
CON chinese 246,0.05158098320894555, 1
CON korean 271,0.0515975240831169, 1
CON chinese 231,0.052141678248156464, 1
CON korean 140,0.05215469882504883, 1
CON japanese_moon_stations 26,0.052168159339991645, 1
CON korean 152,0.052287343781691864, 2
CON chinese 132,0.052316586263426626, 1
CON korean 077,0.05279003804502711, 1
CON western_hlad Pyx,0.05280131310744852, 1
CON chinese 195,0.05286874412018168, 1
CON egyptian 021,0.053230997520698785, 1
CON korean 139,0.05353551322219247, 1
CON chinese 236,0.05366151129462006, 1
CON korean 127,0.053914558429981156, 1
CON chinese 064,0.05391481030775435, 1
CON korean 266,0.05394084013118839, 1
#CON macedonian 016,0.05395817731250495, 10
CON arabic_ancient 1499,0.05395817731250495, 3
CON romanian Hra,0.05395817731250495, 1
CON indian N08,0.05428746394198869, 1
CON korean 176,0.05428746394198869, 2
CON western Tel,0.05440990046598557, 3
CON western_SnT Tel,0.05440990046598557, 1
CON korean 154,0.054484373475195934, 2
CON arabic_ancient 4499,0.054484373475195934, 1
CON boorong Wjl,0.054551015240501884, 1
CON korean 028,0.05463594847961875, 3
CON korean 144,0.05546188868082658, 1
CON arabic_arabian_peninsula 0100,0.05568599229666419, 4
CON korean 076,0.0557129938760251, 1
CON arabic_ancient 5199,0.05576152835062881, 1
CON boorong Won,0.05576717010923276, 1
CON chinese 142,0.05603013948929595, 1
CON mandar 005,0.05679781040064515, 1
CON korean 189,0.056980284195763065, 1
CON boorong Cwp,0.05698410069060337, 1
CON korean 217,0.05744232469542725, 1
CON korean 195,0.0574463210501171, 1
CON korean 175,0.057680260862114516, 1
CON western_rey Mus,0.05781788140899823, 1
CON western_SnT Mus,0.05781788140899823, 1
CON korean 114,0.05802274353861408, 1
CON chinese 007,0.05811957073146596, 1
CON korean 260,0.05812153081469821, 1
CON korean 040,0.05823931379615375, 2
CON arabic_ancient 3001,0.05823931379615375, 3
CON arabic_arabian_peninsula 4501,0.05872997997538914, 1
CON boorong Bbg,0.058972333823219224, 1
CON arabic_arabian_peninsula 3005,0.05916697559215032, 3
CON korean 148,0.05924594966703529, 1
CON arabic_ancient 4699,0.05924594966703529, 1
CON chinese 088,0.05948817622616506, 1
CON chinese 087,0.06030708589583779, 1
CON western Del,0.060338012721779806, 4
CON western_hlad Del,0.060338012721779806, 1
CON romanian Pmi,0.060338012721779806, 1
CON anutan 007,0.060338012721779806, 1
CON korean 211,0.060533241133952906, 1
CON chinese 119,0.06064703262795821, 1
CON korean 183,0.060696426626184845, 1
CON japanese_moon_stations 24,0.060696426626184845, 1
CON chinese 013,0.060696426626184845, 1
CON korean 014,0.061134833909799464, 2
CON arabic_ancient 1101,0.061134833909799464, 1
CON indian N17,0.06123789696343431, 4
CON western_rey Crv,0.061328359121558394, 1
CON chinese 012,0.06138227950421119, 1
CON korean 094,0.06143250694273295, 1
CON western Mic,0.061466080381529634, 2
CON chinese 049,0.061679781941521114, 1
CON korean 016,0.06182261989437812, 1
CON chinese 262,0.061894915600764606, 1
CON korean 180,0.06194158246798346, 1
CON chinese 175,0.06199884109351651, 1
CON boorong Wpl,0.0621141005740757, 1
CON korean 045,0.062132238086395015, 1
CON chinese 213,0.06254949272325735, 1
CON chinese 259,0.06283470848164525, 1
CON chinese 134,0.06328122342103096, 1
CON korean 150,0.06356986373761388, 1
CON chinese 069,0.06356986373761388, 1
CON chinese 143,0.06403694571615583, 1
CON western_hlad Vol,0.06456835462264533, 1
CON western_SnT Vol,0.06456835462264533, 1
CON western_hlad Mus,0.06465435859357377, 1
CON chinese 307,0.06466332245098604, 1
