Constellation, Average Colinearity, Same Constellations Accross Cultures 
CON korean 145,2.5229752981386153, 1
CON arabic_ancient 1099,2.519925644929191, 1
CON arabic_ancient 1399,2.5194920500647924, 1
CON blackfoot 004,2.5177472381200596, 2
CON western_SnT CrA,2.5166588079120675, 1
CON arabic_arabian_peninsula 2550,2.515900585532724, 3
CON korean 001,2.514546930156071, 1
CON korean 094,2.5145400182128133, 1
CON arabic_ancient 0999,2.5143228724125537, 1
CON boorong Cwr,2.5136943141392867, 1
CON western_hlad Pyx,2.5133453200765454, 1
CON western_SnT Vir,2.5113757653528888, 1
CON western_rey Per,2.5101902039127526, 1
CON siberian Kic,2.5098195482190953, 1
CON arabic_ancient 2811,2.5094184812163953, 1
CON arabic_arabian_peninsula 2810,2.5082250773957315, 3
CON western_rey Oph,2.5078535903162567, 1
CON western_rey Tau,2.507510132200953, 1
CON ruelle Eri,2.5070118162149657, 1
CON korean 198,2.5069128461354544, 1
CON western_rey Lyn,2.505151663310262, 1
CON western_SnT Pup,2.4979331141398737, 1
CON western_hlad Cam,2.4978914775936736, 1
CON arabic_al-sufi Sgr,2.497760418578239, 1
CON maori 006,2.4973226528002064, 1
CON romanian Pmi,2.496950136285848, 1
CON korean 022,2.495574580796486, 1
CON ruelle UMa,2.4943946228881435, 1
CON sami 001,2.493275589635057, 1
CON korean 109,2.4930701373899122, 4
CON japanese_moon_stations 24,2.4921998113460777, 1
CON western_rey Cen,2.492141099349727, 1
CON navajo 008,2.488839953799688, 1
CON western Peg,2.488745759109975, 2
CON boorong War,2.4886049475513334, 1
CON western_hlad LMi,2.488199655089284, 1
CON chinese 253,2.4869800380025486, 1
CON western_SnT Ori,2.4868900929009756, 1
CON tongan 007,2.481296155463496, 1
CON korean 103,2.4798038101870694, 1
CON western_hlad Pav,2.4771220872763777, 1
CON western_SnT Her,2.4741968509003507, 1
CON arabic_al-sufi And,2.472991621905732, 1
CON hawaiian_starlines IWI,2.47285664645138, 1
CON arabic_ancient 1499,2.4724234306754433, 3
CON chinese 043,2.4719834442282114, 1
