Constellation, Simulated Prolificness, Same Constellations Accross Cultures 
CON korean 071,-3.92, 3
CON western Sco,-3.9225730932224527, 3
CON western_rey Oph,-3.923204139056865, 1
CON western_hlad Col,-3.923562068257854, 2
CON boorong Wpl,-3.925502405004168, 1
CON hawaiian_starlines MAN,-3.9268409799200192, 1
CON arabic_al-sufi Sco,-3.9268409799200192, 1
CON ruelle Lyn,-3.9317606597828476, 1
CON western Col,-3.933562068257854, 2
CON western Vol,-3.942911541385802, 2
CON chinese 282,-3.95, 1
CON chinese 167,-3.9550784987420586, 1
CON ruelle Cer,-3.960292073985652, 1
CON western Cap,-3.9668918868486696, 3
CON arabic_ancient 3999,-3.97, 2
CON egyptian 027,-3.97, 1
CON western_SnT Leo,-3.972989872964636, 1
CON western_hlad Boo,-3.9752913146557534, 1
CON chinese 022,-3.9803085314141753, 1
CON western_SnT Aql,-3.9828648431289184, 1
CON western Lyn,-3.9867737521991145, 3
CON western_rey Lyn,-3.9867737521991145, 1
CON western_hlad Lup,-3.9877166580635928, 1
CON korean 220,-3.99, 2
CON western_SnT Eri,-3.9959911945547515, 1
CON korean 170,-3.998931814232912, 1
CON western_rey Hya,-3.9994257907750534, 1
CON korean 094,-3.999674344030844, 1
CON ruelle Hya,-3.9997228396772306, 1
CON korean 025,-4.0, 2
CON western_SnT And,-4.000693818561697, 1
CON western_hlad Mon,-4.001475035503395, 1
CON korean 097,-4.0075911496450205, 2
CON boorong Yur,-4.007863968502512, 1
CON western Cen,-4.01056421006062, 2
CON chinese 142,-4.016217640584956, 1
CON korean 050,-4.019070016598192, 1
CON korean 268,-4.02, 2
CON western Pyx,-4.02, 2
CON western_rey Pyx,-4.02, 2
CON western Gru,-4.02995418314862, 3
CON western Tri,-4.03, 6
CON bugis 012,-4.03, 1
CON aztec 001,-4.033113388739833, 1
CON chinese 265,-4.034044468760291, 1
CON western Ori,-4.039356391814257, 2
CON western Lac,-4.042848563274813, 2
CON western_rey Lac,-4.042848563274813, 2
CON romanian Sco,-4.047253371200185, 1
CON arabic_al-sufi Arg,-4.047388951684093, 1
CON western_SnT Hya,-4.048450591816231, 1
CON ruelle Aqr,-4.05681062247132, 1
CON western_hlad Cha,-4.057633908406616, 1
CON western_hlad Ara,-4.06, 1
CON chinese 281,-4.06, 1
CON western Her,-4.061913483356416, 1
CON chinese_contemporary Her,-4.061913483356416, 1
CON chinese 262,-4.062742513001877, 1
CON western_hlad Pyx,-4.06491190082321, 1
CON western_rey Lyr,-4.066072189457083, 1
CON western_SnT Cap,-4.071690472947969, 1
CON western_rey Sco,-4.0796523507884705, 1
CON western_SnT Hyi,-4.08, 1
CON western_hlad Mic,-4.083012169088821, 1
