Constellation, Average Continuation, Same Constellations Accross Cultures 
CON western_hlad Hor,1.0235024485792432, 1
CON arabic_al-sufi Del,1.0272943989049346, 1
CON arabic_al-sufi Cyg,1.0301941236432643, 1
CON arabic_al-sufi Ser,1.0308073826621753, 1
CON chinese 132,1.0339244366932923, 1
CON hawaiian_starlines KAO,1.036057465187942, 1
CON chinese 134,1.0419004306857407, 1
CON anutan 004,1.041924791474391, 1
CON western_hlad Mon,1.042118455577937, 1
CON western_hlad Lep,1.046519937181371, 1
CON chinese 067,1.0484700078909894, 1
CON romanian Ber,1.048564800114145, 1
CON chinese 212,1.0490625921606804, 1
CON korean 136,1.0530385589286957, 1
CON ruelle Ser,1.0570448859483896, 1
CON chinese 231,1.057584597373239, 1
CON western_rey SerCd,1.0579066943907545, 1
CON egyptian 016,1.0635603846850905, 1
CON western Lyn,1.0696247691497778, 3
CON ruelle Pav,1.0768008532904887, 1
CON western Sct,1.0783780851517037, 2
CON western_SnT Gru,1.087913328867073, 1
CON korean 106,1.0887804494633069, 1
CON western_hlad Phe,1.0950097706133337, 1
CON korean 189,1.0970303957764884, 1
CON chinese 284,1.10642221393618, 1
CON western_SnT Lyr,1.118590066039288, 1
CON chinese 316,1.11917998737323, 1
CON ruelle Aql2,1.1209238227860745, 1
CON egyptian 002,1.1216459566677741, 1
CON tupi 004,1.131299682004197, 1
CON western_rey Col,1.1346588549645735, 1
CON ruelle CarPupVel,1.1353590880694395, 1
CON western_rey Phe,1.1445103468087718, 1
CON western_hlad Lac,1.1534821365297732, 1
CON western_hlad Mus,1.160482492708139, 1
CON arabic_al-sufi Lib,1.1607328680722577, 1
CON western_rey Del,1.1646841233483067, 1
CON egyptian 013,1.1986699548124768, 1
CON chinese 103,1.206393055638534, 1
CON western_rey Mus,1.2085440698471839, 1
CON romanian Ccp,1.2089792123268817, 1
CON western Del,1.2120078268958823, 4
CON western_hlad Del,1.2120079156603578, 1
CON japanese_moon_stations 26,1.2224054184470692, 1
CON korean 110,1.223877247261431, 1
CON northern_andes 003,1.2253492704058195, 1
CON chinese 037,1.2313161982265106, 1
CON ruelle Ara,1.245010364941235, 1
CON japanese_moon_stations 25,1.2478974280351722, 1
CON western Dor,1.2480256951098072, 2
CON western Hyi,1.2528274400061152, 2
CON chinese 128,1.2590595032496656, 1
CON chinese 049,1.268243745170455, 1
CON western_SnT Phe,1.2751645127580202, 1
CON western And,1.2841404313898623, 3
CON western Mon,1.2936940749116945, 2
CON korean 201,1.2960049588335971, 2
CON egyptian 006,1.2966403673048863, 1
CON western_rey Ind,1.3027433993076194, 1
CON boorong Ktc,1.308494329693134, 1
CON korean 197,1.3271446095786426, 2
CON romanian Tau,1.3310942778377155, 2
CON bugis 001,1.3448910573284298, 1
CON western_rey Ser,1.349609910808088, 1
CON arabic_ancient 4799,1.354649423976209, 1
CON korean 112,1.360147654983964, 1
CON arabic_ancient 1101,1.363658556999157, 1
CON arabic_ancient 1199,1.363658556999157, 1
CON belarusian 007,1.3639936942931834, 1
CON chinese 210,1.3645742081709946, 1
CON western_hlad Col,1.3764664244356066, 2
CON western_hlad Cam,1.4133634360492646, 1
CON western_rey Cas,1.4164997836602287, 1
CON northern_andes 004,1.4211260201063802, 1
CON ruelle Cap,1.4292472413132957, 1
CON western Col,1.4348087904620335, 2
CON siberian Kic,1.436960395357082, 1
CON bugis 002,1.4395412041426807, 1
CON chinese 157,1.4515659782150423, 1
CON chinese 228,1.4702636966901608, 1
CON korean 142,1.4895103936311866, 1
CON northern_andes 001,1.4913528470151436, 1
CON korean 216,1.4971502997910744, 1
CON chinese 208,1.508428581924372, 1
CON western_rey SerCp,1.5087207561266338, 1
CON ruelle PsA,1.523581093774353, 1
CON inuit 010,1.5369893914143513, 1
CON anutan 010,1.5429729288243919, 1
CON indian N03,1.5551173814198453, 1
CON western Vol,1.5558359214042754, 2
CON western_rey Vol,1.5558359214042754, 1
CON arabic_al-sufi Ara,1.5670270069893906, 1
CON western_hlad Pup,1.5826476198658777, 1
CON western_SnT Ind,1.5945888760250095, 1
