Constellation, Max Magnitude, Same Constellations Accross Cultures 
CON ruelle Sge,4.39, 1
CON ruelle Hya,4.39, 1
CON chinese 034,4.39, 1
CON western Pav,4.4, 3
CON western_hlad Ind,4.4, 1
CON western_SnT Pav,4.4, 1
CON blackfoot 003,4.41, 1
CON korean 062,4.41, 1
CON korean 159,4.41, 1
CON western Scl,4.41, 2
CON western Gem,4.41, 4
CON western_hlad Gem,4.41, 1
CON western_hlad Her,4.41, 1
CON western_rey Her,4.41, 1
CON western_rey Gem,4.41, 1
CON aztec 003,4.41, 1
CON korean 019,4.42, 1
CON egyptian 003,4.42, 1
CON indian N23,4.43, 1
CON macedonian 010,4.43, 1
CON macedonian 015,4.43, 1
CON korean 053,4.43, 1
CON western Del,4.43, 4
CON arabic_ancient 2399,4.43, 1
CON romanian Pmi,4.43, 1
CON anutan 007,4.43, 1
CON western_rey Cae,4.44, 1
CON chinese 051,4.44, 1
CON indian N09,4.45, 1
CON macedonian 013,4.45, 1
CON western For,4.45, 2
CON western_hlad Cha,4.45, 1
CON western_rey Aql,4.45, 1
CON western_rey Hya,4.46, 1
CON korean 014,4.47, 2
CON western Gru,4.47, 3
CON western_rey Leo,4.47, 1
CON anutan 001,4.47, 1
CON western_SnT Gru,4.47, 1
CON western_SnT Leo,4.47, 1
CON korean 097,4.48, 2
CON western Cir,4.48, 5
CON western_hlad Mon,4.48, 1
CON western_rey Sex,4.48, 1
CON chinese 066,4.48, 1
CON anutan 004,4.48, 1
CON western Cyg,4.49, 3
CON western_rey Tuc,4.49, 1
CON romanian Pma,4.49, 1
CON korean 007,4.5, 2
CON korean 205,4.5, 2
CON western Pic,4.5, 4
CON arabic_ancient 1101,4.5, 1
CON western_hlad Boo,4.5, 1
CON western_hlad PsA,4.5, 1
CON western_rey Pic,4.5, 1
CON boorong Mar,4.5, 1
CON western_hlad Tuc,4.51, 2
CON western_SnT Cap,4.51, 1
CON western_SnT Ind,4.51, 1
CON western_hlad Lac,4.52, 1
CON western_rey Sgr,4.52, 1
CON western_SnT Tel,4.52, 1
CON western And,4.53, 3
