Constellation, Average Magnitude, Same Constellations Accross Cultures 
CON western_hlad Oph,3.4055555555555554, 1
CON chinese 167,3.407, 1
CON korean 071,3.41, 3
CON boorong Tch,3.41, 1
CON western_rey Ori,3.4104347826086956, 1
CON arabic_ancient 0799,3.4125, 2
CON chinese 054,3.4133333333333327, 1
CON korean 197,3.4133333333333336, 2
CON ruelle Pav,3.418, 1
CON korean 104,3.42, 1
CON korean 252,3.4236363636363634, 2
CON navajo 006,3.4260000000000006, 1
CON western Hyi,3.428, 2
CON korean 148,3.435, 1
CON arabic_ancient 4207,3.436666666666666, 1
CON korean 202,3.438, 2
CON western Gru,3.4444444444444446, 3
CON western_hlad Mus,3.4479999999999995, 1
CON indian N16,3.4524999999999997, 1
CON korean 018,3.4524999999999997, 2
CON japanese_moon_stations 03,3.4525, 1
CON arabic_ancient 1199,3.4611111111111112, 1
CON korean 014,3.4633333333333334, 2
CON western_rey Pyx,3.4699999999999998, 2
CON arabic_al-sufi 05Boo04,3.475, 1
CON western_rey Mus,3.478333333333333, 1
CON western_SnT Mus,3.478333333333333, 1
CON western_SnT Phe,3.48, 1
CON arabic_al-sufi Peg,3.4818750000000005, 1
CON western Tri,3.483333333333333, 6
CON bugis 012,3.483333333333333, 1
CON arabic_ancient 0899,3.486666666666667, 1
CON chinese 208,3.4879999999999995, 1
CON egyptian 017,3.4889473684210524, 1
CON korean 042,3.49, 1
CON korean 225,3.49, 1
CON anutan 004,3.491428571428572, 1
CON western_rey Boo,3.493333333333333, 1
CON korean 216,3.4939999999999998, 1
CON chinese 069,3.5, 1
CON korean 161,3.5022222222222226, 2
CON western_SnT Oph,3.5047058823529413, 1
CON tupi 004,3.5053658536585357, 1
CON korean 201,3.5060000000000002, 2
CON arabic_al-sufi Cyg,3.506249999999999, 1
CON western_rey Ara,3.5066666666666673, 1
CON western_hlad Lep,3.5129999999999995, 1
CON western_SnT Vir,3.5185714285714282, 1
CON western_rey Dra,3.5226666666666664, 2
CON ruelle Her,3.5233333333333334, 1
CON korean 187,3.524, 1
CON arabic_ancient 1502,3.524, 1
CON japanese_moon_stations 22,3.52625, 1
CON ruelle Cyg,3.527647058823529, 1
CON korean 163,3.53, 1
CON ruelle Dor,3.53, 1
CON western_rey Crv,3.53, 1
CON arabic_al-sufi Crv,3.53, 1
CON chinese 031,3.5300000000000002, 1
CON navajo 004,3.532666666666666, 1
CON tupi 001,3.532857142857143, 1
CON korean 150,3.5374999999999996, 1
CON western Dra,3.538, 4
CON western_SnT Per,3.5399999999999996, 1
CON korean 017,3.54, 2
CON arabic_al-sufi Aur,3.5433333333333326, 1
CON western_hlad Phe,3.5442857142857145, 1
CON western_SnT Ser,3.546428571428571, 1
CON arabic_al-sufi UMa,3.5470370370370365, 1
#CON western UMi,3.5485714285714285, 9
CON aztec 004,3.5485714285714285, 1
CON arabic_al-sufi UMi,3.5485714285714285, 1
CON arabic_al-sufi Arg,3.5576923076923075, 1
CON ruelle And,3.560769230769231, 1
CON western_rey Vir,3.5626666666666664, 1
CON western CVn,3.5650000000000004, 5
CON ruelle Boo,3.566875, 1
CON chinese 107,3.57, 1
CON western_rey Tau,3.5709999999999993, 1
CON chinese 089,3.572, 1
CON western_hlad Her,3.574666666666667, 1
CON navajo 001,3.5750000000000006, 1
CON ruelle Ara,3.5759999999999996, 1
