Constellation, Average Equal Spacing, Same Constellations Accross Cultures 
CON korean 192,0.08351133034649223, 3
CON chinese 094,0.08365113863576117, 1
CON western_hlad Mus,0.08369039768961234, 1
CON tukano 004,0.08376703831304304, 1
CON navajo 004,0.08394212337851906, 1
CON western_SnT Her,0.08401436300834077, 1
CON western_SnT Per,0.08436363955187735, 1
CON chinese 127,0.08448420389421929, 1
CON korean 184,0.08455107490799568, 1
CON boorong Mar,0.084718589769569, 1
CON bugis 010,0.08496339045420065, 1
CON hawaiian_starlines NAV,0.08496907119743287, 1
CON anutan 001,0.08499058076117133, 1
CON belarusian 012,0.08502749145242033, 1
CON arabic_ancient 4299,0.08506440093724976, 2
CON arabic_ancient 0299,0.08548262841702765, 2
CON chinese 253,0.08552453234644611, 1
CON western_SnT Aur,0.08567852046320455, 1
CON sami 001,0.0857358332532436, 1
CON western_hlad Sct,0.08589170499944232, 1
CON korean 116,0.08601717539471095, 1
CON chinese 220,0.08618519315858052, 1
CON korean 159,0.0862081732962441, 1
CON korean 108,0.08632764801500332, 1
CON western Gem,0.08660442626522923, 4
CON western_rey Cet,0.086995863775809, 1
CON western_rey Crv,0.08701455780804696, 1
CON tukano 011,0.08705336655331987, 6
CON blackfoot 001,0.08705336655331987, 1
CON ruelle Leo,0.08707239453503977, 1
CON arabic_ancient 5199,0.08713332104045654, 1
CON korean 190,0.08762221093485231, 1
CON western_hlad LMi,0.0877862553889738, 1
CON korean 183,0.08794714985387526, 1
CON western Vir,0.08801006723383548, 2
CON arabic_al-sufi Gem,0.08824261801379409, 1
CON chinese 016,0.08889243098566073, 1
CON anutan 011,0.08895033946341388, 1
CON arabic_arabian_peninsula 4201,0.0889971658914571, 3
CON korean 172,0.0889971658914571, 2
CON chinese 145,0.08905147119657358, 1
CON ruelle PsA,0.08909011615479544, 1
CON ruelle Cyg,0.08929553511111496, 1
CON chinese 033,0.08929956814391059, 1
CON chinese 228,0.08937670412090339, 1
CON ruelle Cen,0.08954316412758317, 1
CON ruelle Lep,0.08972244551624776, 1
CON japanese_moon_stations 18,0.09017300021034828, 1
CON western LMi,0.09026603524245004, 2
CON western_hlad Mon,0.0903308075094741, 1
CON western_SnT Ser,0.0903641673150347, 1
CON lokono 007,0.09037036596733239, 1
CON korean 229,0.09049620548845795, 2
CON romanian Vca,0.09049665776080162, 1
CON western_rey Dra,0.09052157320885901, 2
CON arabic_al-sufi CMa,0.09061716896206955, 1
CON arabic_ancient 4207,0.09061834713417954, 1
CON ruelle Dra,0.09061872384911437, 1
CON korean 160,0.09068581579178919, 1
CON ruelle Pav,0.0907209195684908, 1
CON korean 130,0.09075799512966441, 2
CON ruelle Boo,0.09076386712863117, 1
CON japanese_moon_stations 12,0.09089328923192551, 1
CON korean 215,0.09138760714532239, 1
CON tukano 009,0.09143632760793263, 1
CON chinese 067,0.09156885679944526, 1
CON tukano 008,0.09161745998463156, 1
CON ruelle Ser,0.0916834069289361, 1
CON western_rey Psc,0.09174693782057719, 1
CON chinese 027,0.09184571797295527, 1
CON romanian Rar,0.09192703671611549, 1
CON western_hlad Cha,0.0920687734918385, 1
CON western_hlad Dra,0.092069436515481, 1
CON western_rey Lac,0.09214283597304378, 2
CON japanese_moon_stations 19,0.09244161166234724, 1
CON korean 175,0.09251255530579569, 1
CON macedonian 019,0.09266365595883355, 1
CON western_hlad Ser,0.092838098685107, 1
CON mandar 003,0.09295910623089187, 1
CON arabic_ancient 0899,0.09317155154131729, 1
CON arabic_al-sufi Per,0.0933209497258096, 1
CON western_SnT Aql,0.09347965708569156, 1
CON western Cet,0.09348913723265706, 2
CON arabic_al-sufi Del,0.09351163549014674, 1
CON belarusian 003,0.0936845350585786, 1
CON chinese 095,0.09388242068138769, 1
CON navajo 001,0.09449020959985867, 1
CON sardinian 007,0.09455503148618827, 1
CON korean 120,0.09464574223966343, 1
CON chinese 256,0.09485623813658761, 1
CON korean 119,0.0949251750301165, 2
CON egyptian 014,0.09500468794186452, 1
CON western_rey CMa,0.09514831137969265, 1
CON western_hlad Pup,0.09518304054988476, 1
CON western_hlad Gru,0.09537373294201106, 1
CON korean 106,0.09564651188771021, 1
CON arabic_al-sufi Her,0.09579817330677455, 1
CON western Cam,0.0958492473728523, 2
CON chinese 032,0.09597340491986876, 1
CON western Dor,0.09622438720883758, 2
CON western Lyn,0.09623094565887218, 3
CON western_SnT Vol,0.09628865833243658, 1
CON chinese_contemporary Psc,0.09647013835162047, 1
CON boorong Won,0.09691116286571426, 1
CON western_SnT CMa,0.0969706252638316, 1
CON arabic_arabian_peninsula 3499,0.09702260258477935, 3
CON chinese_contemporary Her,0.09713185238900685, 1
CON ruelle Vir,0.0973652775487395, 1
CON western Lup,0.0974368946956085, 2
CON arabic_arabian_peninsula 3005,0.0974667064169564, 3
CON western Psc,0.09762947720155116, 1
CON western Cha,0.09782476909664617, 2
CON korean 053,0.09786911643400142, 1
CON western_SnT Cet,0.09805745048389382, 1
CON egyptian 015,0.09834518591512888, 1
#CON macedonian 001,0.09846597383820117, 11
CON chinese 262,0.09853283657695375, 1
CON korean 185,0.09857348887126173, 1
CON western_rey Mon,0.09858365609279023, 1
CON western_SnT Mon,0.09858365609279023, 1
CON aztec 002,0.09870617313003036, 1
CON korean 246,0.09901637356431156, 1
CON korean 074,0.099170017491085, 1
CON korean 050,0.09932167173124573, 1
CON arabic_al-sufi Sge,0.09970082005632161, 1
CON bugis 003,0.09980014770506251, 1
CON western_rey Sgr,0.09999180695553507, 1
CON macedonian 002,0.10001351472215943, 1
