Constellation, Max Continuation, Same Constellations Accross Cultures 
CON korean 201,1.7994228395691763, 2
CON japanese_moon_stations 15,1.8009864102390947, 1
CON sardinian 007,1.8054571839993807, 1
CON arabic_al-sufi Ari,1.8129130190218947, 1
CON western_SnT Hya,1.8130741963679404, 1
CON maori 005,1.8146159286921009, 4
CON belarusian 007,1.8146159286921009, 1
CON western_rey Mon,1.817813107313409, 1
CON western_SnT Mon,1.817813107313409, 1
CON chinese 228,1.8181110020404228, 1
CON korean 058,1.8212193385316664, 1
CON bugis 002,1.8245245328490993, 1
CON western_SnT Sco,1.8245245328490993, 1
CON arabic_ancient 5499,1.841957102086151, 1
CON chinese 221,1.8517752042069495, 1
CON chinese 094,1.8563973886954679, 1
CON arabic_al-sufi Lyr,1.857247897581967, 1
CON western_SnT Lyr,1.857247897581967, 1
CON western Sct,1.8781740796585522, 2
CON western_rey Cam,1.8790580640694186, 1
CON western_hlad Psc,1.8842714305847057, 1
CON chinese 278,1.885105806670428, 1
CON western Cep,1.8854316378416427, 2
CON western_hlad Cep,1.8854316378416427, 1
CON western_rey Cep,1.8854316378416427, 1
CON arabic_al-sufi Boo,1.8882734379439916, 1
CON western_SnT And,1.8892656747039347, 1
CON western_rey LMi,1.8918175265552883, 2
CON tukano 008,1.8920046595068611, 1
CON arabic_ancient 4599,1.9004732629753671, 1
CON western_hlad Boo,1.9058194154799017, 1
CON western_rey Lyr,1.9086598952702216, 1
CON chinese 236,1.909047177712631, 1
CON korean 022,1.9150063452692065, 1
CON arabic_al-sufi Hya,1.9239388372212902, 1
CON ruelle Ser,1.9255882884367401, 1
CON western_hlad Lep,1.927822189763599, 1
CON ruelle Cet,1.941164999807198, 1
CON boorong Nln,1.9420217372178246, 1
CON tukano 007,1.9519066671958203, 3
CON western Aqr,1.952624886754128, 2
CON western_rey Pup,1.9641428874276858, 1
CON western_SnT Pup,1.9641428874276858, 1
CON western_hlad Phe,1.9697458073798755, 1
CON western_SnT Phe,1.9697458073798755, 1
CON western Lac,1.9717976280561662, 2
CON western_rey Lac,1.9717976280561662, 2
CON korean 145,1.9776212778699094, 1
CON chinese 253,1.9776212778699094, 1
CON western Phe,1.9777734808562233, 2
CON northern_andes 003,1.986209682416967, 1
CON korean 057,1.9908484883252107, 1
CON chinese 231,1.997301832047421, 1
CON ruelle UMa,1.9982480814536216, 1
CON arabic_al-sufi Crt,1.99999556148857, 1
CON chinese 242,2.0038847241511686, 1
CON arabic_al-sufi CrA,2.005333988133401, 1
CON ruelle Oph,2.0096068739429156, 1
CON arabic_al-sufi Aur,2.011791130917526, 1
CON western Leo,2.0120314367937344, 2
CON western_SnT Leo,2.0120314367937344, 1
CON western_hlad Leo,2.0238772686214164, 2
CON romanian Cap,2.0276625044851406, 1
CON chinese 206,2.029609640701726, 1
CON ruelle Leo,2.033250168150848, 1
CON chinese 132,2.0358251357333, 1
CON romanian Bar,2.039308764340582, 1
